Panel configuration,Battery Size,Battery exchanges done,Years of ROI,Inverter config,Blackout Days
"[{'surface_tilt': 45, 'surface_azimuth': 180, 'strings': 3, 'modules_per_string': 6}, {'surface_tilt': 45, 'surface_azimuth': 0, 'strings': 2, 'modules_per_string': 6}]","{'type': 'LiFePO4', 'size': 9600, 'cost': 61900, 'default': False, '_comment': 'https://www.e-pohon.cz/akumulator-lifepo4-48v-200ah-10-kwh-greflow-wall-mount-200a.html'}",0,8.093660867047754,"{'nominal_power': 6000, 'efficiency': 0.975, 'cost': 42251, 'default': False, 'hybrid': True, 'battery_loader_efficiency': 0.975, 'asymetric': True, 'max_single_phase_ratio': 0.5, '_comment': 'https://www.mobler.cz/menic-growatt-sph-10000tl3-bh-up-10-kw/ cited 1/5/2024'}",0
"[{'surface_tilt': 45, 'surface_azimuth': 180, 'strings': 1, 'modules_per_string': 7}, {'surface_tilt': 45, 'surface_azimuth': 0, 'strings': 0, 'modules_per_string': 5}]","{'type': 'Plumbum', 'size': 4800, 'cost': 36000, 'default': False, '_comment': 'https://www.tipa.eu/cz/baterie-agm-12v-200ah-solarfam-pro-solary/d-244759/?gad_source=1 cited 2023-04-26'}",4,24.21424307917526,"{'nominal_power': 10000, 'efficiency': 0.975, 'cost': 48718, 'default': False, 'hybrid': True, 'battery_loader_efficiency': 0.975, 'asymetric': True, 'max_single_phase_ratio': 0.5, '_comment': 'https://www.mobler.cz/menic-growatt-sph-10000tl3-bh-up-10-kw/?variantId=259869&gad_source=1 cited 1/5/2024'}",0
"[{'surface_tilt': 45, 'surface_azimuth': 180, 'strings': 2, 'modules_per_string': 8}, {'surface_tilt': 45, 'surface_azimuth': 0, 'strings': 1, 'modules_per_string': 4}]","{'type': 'Plumbum', 'size': 9600, 'cost': 36000, 'default': True, '_comment': 'https://www.tipa.eu/cz/baterie-agm-12v-200ah-solarfam-pro-solary/d-244759/?gad_source=1 cited 2023-04-26'}",2,11.366605582069685,"{'nominal_power': 10000, 'efficiency': 0.97, 'cost': 65049, 'default': True, 'hybrid': True, 'battery_loader_efficiency': 0.97, 'asymetric': True, 'max_single_phase_ratio': 0.5, '_comment': 'https://www.mobler.cz/menic-10kw-hybridni-3f-lemax-deye-sun10k-sg04lp3/?variantId=260565&gad_source=1 cited 1/5/2024'}",0
"[{'surface_tilt': 45, 'surface_azimuth': 180, 'strings': 2, 'modules_per_string': 6}, {'surface_tilt': 45, 'surface_azimuth': 0, 'strings': 2, 'modules_per_string': 6}]","{'type': 'LiFePO4', 'size': 9600, 'cost': 61900, 'default': False, '_comment': 'https://www.e-pohon.cz/akumulator-lifepo4-48v-200ah-10-kwh-greflow-wall-mount-200a.html'}",0,8.885747468623586,"{'nominal_power': 12000, 'efficiency': 0.97, 'cost': 75891, 'default': False, 'hybrid': True, 'battery_loader_efficiency': 0.97, 'asymetric': True, 'max_single_phase_ratio': 0.5, '_comment': 'https://www.mobler.cz/menic-10kw-hybridni-3f-lemax-deye-sun10k-sg04lp3/?variantId=260565&gad_source=1 cited 1/5/2024'}",0
"[{'surface_tilt': 45, 'surface_azimuth': 180, 'strings': 1, 'modules_per_string': 9}, {'surface_tilt': 45, 'surface_azimuth': 0, 'strings': 1, 'modules_per_string': 6}]","{'type': 'LiFePO4', 'size': 20000, 'cost': 250000, 'default': False, '_comment': 'https://www.rozsvitimesvet.cz/baterie/20kwh-system-lithiove-baterie--204v--pro-8-12kw-invertor/ cited 2023-04-26'}",0,13.611715143265227,"{'nominal_power': 10000, 'efficiency': 0.97, 'cost': 65049, 'default': True, 'hybrid': True, 'battery_loader_efficiency': 0.97, 'asymetric': True, 'max_single_phase_ratio': 0.5, '_comment': 'https://www.mobler.cz/menic-10kw-hybridni-3f-lemax-deye-sun10k-sg04lp3/?variantId=260565&gad_source=1 cited 1/5/2024'}",0
